path_name,scene_id,start_time,end_time
demolition.mp4,108,00:07:46.000,00:07:47.200
demolition.mp4,109,00:07:47.200,00:07:49.000
demolition.mp4,110,00:07:49.000,00:07:52.733
demolition.mp4,111,00:07:52.733,00:07:56.967
demolition.mp4,112,00:07:56.967,00:07:59.267
demolition.mp4,113,00:07:59.267,00:08:00.900
demolition.mp4,114,00:08:00.900,00:08:04.367
demolition.mp4,115,00:08:04.367,00:08:06.733
demolition.mp4,116,00:08:06.733,00:08:10.567
demolition.mp4,117,00:08:10.567,00:08:12.533
demolition.mp4,118,00:08:12.533,00:08:18.867
demolition.mp4,119,00:08:18.867,00:08:20.967
demolition.mp4,120,00:08:20.967,00:08:22.700
demolition.mp4,121,00:08:22.700,00:08:24.700
demolition.mp4,122,00:08:24.700,00:08:25.967
demolition.mp4,123,00:08:25.967,00:08:26.933
demolition.mp4,124,00:08:26.933,00:08:32.567
demolition.mp4,125,00:08:32.567,00:08:34.667
demolition.mp4,126,00:08:34.667,00:08:36.000
demolition.mp4,127,00:08:36.000,00:08:37.933
demolition.mp4,128,00:08:37.933,00:08:40.033
demolition.mp4,129,00:08:40.033,00:08:41.633
demolition.mp4,130,00:08:41.633,00:08:43.700
demolition.mp4,131,00:08:43.700,00:08:45.700
demolition.mp4,132,00:08:45.700,00:08:47.367
demolition.mp4,133,00:08:47.367,00:08:49.000
demolition.mp4,134,00:08:49.000,00:08:49.667
demolition.mp4,135,00:08:49.667,00:08:50.700
demolition.mp4,136,00:08:50.700,00:08:52.433
demolition.mp4,137,00:08:52.433,00:08:54.033
demolition.mp4,138,00:08:54.033,00:08:55.733
demolition.mp4,139,00:08:55.733,00:08:57.167
demolition.mp4,140,00:08:57.167,00:08:58.633
demolition.mp4,141,00:08:58.633,00:09:02.133
demolition.mp4,142,00:09:02.133,00:09:03.967
demolition.mp4,143,00:09:03.967,00:09:07.800
demolition.mp4,144,00:09:07.800,00:09:09.100
demolition.mp4,145,00:09:09.100,00:09:10.633
demolition.mp4,146,00:09:10.633,00:09:12.000
demolition.mp4,147,00:09:12.000,00:09:13.400
demolition.mp4,148,00:09:13.400,00:09:15.233
demolition.mp4,149,00:09:15.233,00:09:18.100
demolition.mp4,150,00:09:18.100,00:09:20.600
demolition.mp4,151,00:09:20.600,00:09:23.267
demolition.mp4,152,00:09:23.267,00:09:25.100
demolition.mp4,153,00:09:25.100,00:09:26.867
demolition.mp4,154,00:09:26.867,00:09:28.200
demolition.mp4,155,00:09:28.200,00:09:29.100
demolition.mp4,156,00:09:29.100,00:09:30.700
demolition.mp4,157,00:09:30.700,00:09:35.033
demolition.mp4,158,00:09:35.033,00:09:37.567
demolition.mp4,159,00:09:37.567,00:09:39.833
demolition.mp4,160,00:09:39.833,00:09:40.833
demolition.mp4,161,00:09:40.833,00:09:42.700
demolition.mp4,162,00:09:42.700,00:09:43.267
demolition.mp4,163,00:09:43.267,00:09:44.500
demolition.mp4,164,00:09:44.500,00:09:46.000
demolition.mp4,165,00:09:46.000,00:09:47.600
demolition.mp4,166,00:09:47.600,00:09:48.333
demolition.mp4,167,00:09:48.333,00:09:50.100
demolition.mp4,168,00:09:50.100,00:09:51.067
demolition.mp4,169,00:09:51.067,00:09:52.233
demolition.mp4,170,00:09:52.233,00:09:53.300
demolition.mp4,171,00:09:53.300,00:09:54.833
demolition.mp4,172,00:09:54.833,00:09:56.933
demolition.mp4,173,00:09:56.933,00:09:58.933
demolition.mp4,174,00:09:58.933,00:10:02.900
